letter,frequency
"Importance: 0.030408139734176814","Featurename: AccountLength"
"Importance: 0.08357810051651594","Featurename: Intlact"
"Importance: 0.022288546228175395","Featurename: Vmailact"
"Importance: 0.03016202410021524","Featurename: Vmailnumber"
"Importance: 0.14343971753662485","Featurename: day minutes"
"Importance: 0.031565957608334465","Featurename: day calls"
"Importance: 0.13541540524780124","Featurename: day charge"
"Importance: 0.06777012698980603","Featurename: evening minutes"
"Importance: 0.02684300923329637","Featurename: evening calls"
"Importance: 0.06693762401421108","Featurename: evening charge"
"Importance: 0.038625545537129276","Featurename: night minutes"
"Importance: 0.028652199578225127","Featurename: night calls"
"Importance: 0.03718584015509925","Featurename: night charge"
"Importance: 0.04176751521892379","Featurename: intl minutes"
"Importance: 0.052181679789912304","Featurename: intl calls"
"Importance: 0.04340482054098415","Featurename: intl charge"
"Importance: 0.11977374797056879","Featurename: cust calls"
