letter,frequency 
AccountLength,0.00445203715074
Areacode,0.00116203764846
Intlact,0.0336644988721
Vmailact,0.00849170863522
Vmailnumber,0.010204941404
day minutes,0.0584111830685
day calls,0.00485390890594
day charge,0.052503081657
evening minutes,0.0147139110137
evening calls,0.00380039910495
evening charge,0.0162648896206
night minutes,0.00638168735095
night calls,0.00472234161178
night charge,0.00647848973308
intl minutes,0.0106789389961
intl calls,0.0124930370774
intl charge,0.0107253931207
cust calls,0.0462628695374
Churn,0.693734645491
