letter,frequency
AccountLength,0.00448549654665
Areacode,0.00111207080697
Intlact,0.0314446900444
Vmailact,0.00869307014135
Vmailnumber,0.00979580624438
"day minutes",0.054503039238
"day calls",0.00479490477303
"day charge",0.0569581767112
"evening minutes",0.0165600671763
"evening calls",0.00384690187134
"evening charge",0.0158864256899
"night minutes",0.00671835379716
"night calls",0.00427621367952
"night charge",0.00604753384203
"intl minutes",0.00979833018827
"intl calls",0.0135884956887
"intl charge",0.00987638628906
"cust calls",0.0467880005682
Churn,0.694826036704
